,price,sex,age
0,24.97,f,44
1,4.99,f,40
2,4.99,m,36
3,12.98,f,32
4,59.73,m,41
5,35.97,m,41
6,22.73,m,41
7,11.98,m,41
8,4.99,m,41
9,21.23,m,41
10,31.58,m,41
11,31.97,m,41
12,39.01,m,41
13,54.66,m,41
14,43.44,m,42
15,27.07,m,41
16,58.23,m,41
17,33.5,m,41
18,59.50000000000001,m,41
19,49.29,m,41
20,25.97,m,41
21,43.42,m,41
22,52.41,m,41
23,38.48,m,46
24,34.44,m,46
25,16.98,m,40
26,35.96,m,47
27,27.96,m,31
28,4.99,m,45
29,25.26,f,34
30,20.98,f,34
31,4.99,m,37
32,14.98,f,33
33,35.300000000000004,f,32
34,83.66,f,53
35,42.47,f,54
36,90.35,f,53
37,70.96,f,53
38,36.85,f,53
39,34.98,m,52
40,16.98,m,52
41,30.71,m,41
42,69.27000000000001,f,56
43,4.99,m,41
44,28.65,m,47
45,10.98,f,44
46,16.97,f,47
47,19.98,m,53
48,48.71,m,37
49,41.98,m,46
50,23.1,m,31
51,43.76,f,38
52,27.97,f,38
53,15.16,m,45
54,4.99,f,30
55,46.23,f,32
56,39.2,f,39
57,43.69,m,37
58,4.99,m,66
59,9.17,f,38
60,25.97,f,33
61,4.99,m,37
62,42.29,m,37
63,19.98,f,45
64,9.98,m,47
65,28.0,f,34
66,36.98,m,61
67,48.92,m,30
68,4.99,f,43
69,4.99,f,57
70,4.99,f,65
71,16.98,m,35
72,8.27,m,33
73,14.98,f,37
74,112.73,f,66
75,97.64,f,33
76,37.55,f,31
77,28.39,f,31
78,4.99,m,41
79,28.1,f,44
80,40.39,m,43
81,27.44,f,34
82,20.47,m,35
83,4.99,m,58
84,4.99,m,39
85,21.97,f,31
86,14.98,m,36
87,23.1,f,34
88,17.48,f,39
89,45.6,m,30
90,28.410000000000004,f,42
91,34.49,f,37
92,17.98,f,34
93,32.26,f,44
94,41.24,m,49
95,22.54,m,49
96,32.96,f,40
97,46.0,m,42
98,40.760000000000005,f,47
99,27.62,f,50
100,54.25,f,41
101,23.97,m,32
102,21.230000000000004,f,48
103,21.69,f,50
104,4.99,m,38
105,47.38,f,42
106,33.510000000000005,m,45
107,31.98,f,47
108,45.35,m,46
109,34.79,f,34
110,13.06,m,41
111,32.92,m,48
112,4.99,f,38
113,48.790000000000006,f,35
114,4.99,m,65
115,91.42999999999998,f,45
116,29.39,f,32
117,8.02,m,46
118,26.23,f,51
119,70.88,f,37
120,4.99,f,52
121,35.58,f,38
122,33.98,m,43
123,4.99,f,42
124,24.68,m,32
125,31.82,m,48
126,4.99,f,43
127,10.98,m,37
128,31.880000000000003,m,41
129,4.99,m,53
130,8.98,f,33
131,94.35,m,33
132,34.230000000000004,m,38
133,28.85,f,39
134,27.74,f,48
135,56.71,m,84
136,42.3,f,43
137,31.129999999999995,f,62
138,48.17,m,30
139,23.98,m,41
140,14.99,m,41
141,42.8,m,41
142,32.14,m,49
143,59.72,f,39
144,4.99,m,50
145,4.99,f,41
146,19.67,m,42
147,38.17999999999999,f,32
148,19.98,f,42
149,4.99,f,86
150,23.22,f,43
151,60.96,m,49
152,21.26,m,34
153,4.99,m,51
154,8.940000000000001,m,34
155,35.25,f,43
156,21.23,f,42
157,50.39,m,46
158,56.04,f,37
159,8.98,f,45
160,60.39999999999999,f,44
161,22.98,f,36
162,20.98,f,36
163,8.68,m,43
164,31.97,f,41
165,31.18,f,48
166,55.29,f,47
167,25.82,f,48
168,20.08,f,36
169,60.8,f,61
170,21.64,f,50
171,8.14,f,38
172,4.99,f,43
173,28.97,f,43
174,94.51,f,49
175,23.1,f,64
176,35.27,m,40
177,18.98,m,42
178,72.14999999999999,m,33
179,4.99,m,34
180,39.66,m,33
181,4.99,f,84
182,19.97,f,42
183,65.94999999999999,m,22
184,55.64,f,32
185,4.99,m,40
186,38.61,f,34
187,46.32,m,35
188,4.99,m,53
189,4.99,m,61
190,31.74,f,43
191,10.12,m,43
192,68.89,f,39
193,54.52,f,31
194,4.99,f,39
195,4.99,f,41
196,13.06,f,33
197,25.1,m,32
198,4.99,m,42
199,4.99,f,44
200,32.64,f,35
201,33.5,f,46
202,16.98,m,41
203,37.04,m,31
204,27.97,f,41
205,15.98,m,31
206,31.43,f,48
207,39.96,f,39
208,48.63,m,41
209,4.99,f,54
210,18.98,f,37
211,4.99,f,64
212,19.48,m,45
213,54.96,m,43
214,30.66,f,21
215,15.98,m,47
216,18.98,f,33
217,4.99,f,56
218,34.15,f,46
219,28.98,f,41
220,39.56,m,39
221,4.99,m,39
222,32.77,f,39
223,15.74,m,48
224,20.0,m,41
225,36.71,f,41
226,22.45,m,46
227,38.33,m,47
228,29.97,m,42
229,12.98,f,65
230,72.87,f,33
231,4.99,m,67
232,13.98,f,45
233,76.13,f,54
234,60.42,m,17
235,44.54,f,43
236,4.99,m,51
237,48.31,m,49
238,66.39,f,83
239,23.98,f,61
240,32.74,m,42
241,14.56,f,48
242,29.97,f,48
243,9.98,f,48
244,10.98,m,44
245,97.41,f,47
246,21.1,f,49
247,44.05,f,27
248,34.89,f,33
249,25.98,f,39
250,4.99,m,50
251,53.37,f,34
